UID,Subtype,Classification
DDJ702IDG,H9N2,Avian
AJH297UIF,H9N2,Avian
SFE995WKU,H9N2,Avian
UKB330NDB,H9N2,Avian
XKM002UGQ,H9N2,Avian
XEO886TIY,H9N2,Avian
PCE549FUW,H9N2,Avian
QIW041RVN,H9N2,Avian
MMZ289BNZ,H9N2,Avian
JNE483IYH,H9N2,Avian
VRC741ETW,H9N2,Avian
YCV970NEF,H9N2,Avian
BAM453IHG,H9N2,Avian
JFR378LCU,H9N2,Avian
TXG875QNI,H7N9,Avian
XJQ775LCN,H9N2,Avian
NOB318ANI,H9N2,Avian
CBE130NWB,H5N6,Avian
OMK215JRY,H5N1,Avian
NIH552RQZ,H5N1,Avian
OYR966DRV,H5N1,Avian
XFJ595WNM,H5N1,Avian
SNX861IKX,H5N1,Avian
AKR598NHJ,H6N2,Avian
ROA476LMA,H7N9,Avian
YUG184CMX,H6N2,Avian
QFN029SHL,H3N2,Suidae
AZS756EAZ,H9N2,Avian
ORN464EXL,H9N2,Avian
EDV883OLA,H9N2,Avian
CHE708THJ,H9N2,Avian
DZC458LLB,H5N1,Avian
ZBF164REI,H9N2,Avian
NKV653VYF,H9N2,Avian
YPH043ADD,H9N2,Avian
VRN193XPI,H9N2,Avian
CDF645HXL,H9N2,Avian
UUO840AEG,H5N1,Avian
JOZ318OXE,H9N2,Avian
WFX051TFR,H9N2,Avian
VNT675IXN,H9N2,Avian
ABQ137VLV,H9N2,Avian
MUI430QTO,H9N2,Avian
PRJ318RIJ,H9N2,Avian
UQE121SOY,H9N2,Avian
LVN829HXX,H5N1,Avian
DOB528BEL,H5N1,Avian
MSF284WYQ,H9N2,Avian
ENL732ONI,H9N2,Avian
HSI336WPI,H9N2,Avian
ORK960USC,H9N2,Avian
TJX249MZW,H9N2,Avian
IMU569SAI,H5N1,Avian
UWF976KBC,H5N1,Avian
VMU485YWP,H5N1,Avian
ENC152QPF,H9N2,Avian
QJR804YYG,H9N2,Avian
YOG586SIX,H5N1,Avian
CBN326EDR,H9N2,Avian
VPN379MMK,H9N2,Avian
IHH630YWK,H9N2,Avian
BWF675MYA,H9N2,Avian
YHC835RUH,H9N2,Avian
MOG402ZFR,H9N2,Avian
FQQ114CPH,H7N1,Avian
KBB860JXQ,H7N1,Avian
CHI266LNI,H5N8,Avian
MWV082QIE,H5N1,Avian
RBY145SMJ,H5N1,Avian
FXW788FNP,H5N2,Avian
RQY309ICE,H5N1,Avian
GTJ414LFG,H9N2,Avian
TGM108BDI,H9N2,Avian
CLU180JKX,H9N2,Avian
FFX393YDO,H9N2,Avian
VZT468FVL,H9N2,Avian
ZUH448VGW,H5N1,Avian
HKB882OUJ,H7N9,Avian
UQJ021HBH,H5N1,Avian
ERB104ATJ,H5N1,Avian
VLA897DLA,H9N2,Avian
KQC880TMH,H3N8,Equidae
GTZ579ADU,H9N2,Avian
JFR999FNG,H6N1,Avian
VEH090TJN,H9N2,Avian
VFG813ZZS,H9N2,Avian
CLQ694HYP,H5N1,Avian
PDX983DJP,H9N2,Avian
CAK912BDZ,H9N2,Avian
YCR619IWJ,H9N2,Avian
DTX853XVV,H1N1,Hominidae
XGN193SBW,H9N2,Avian
FPB819SFB,H1N2,Suidae
TPU416UNN,H9N2,Avian
RZQ127INU,H6N8,Avian
FOR507HAA,H9N2,Avian
QRP206EBJ,H5N1,Avian
MKN300YPS,H1N1,Hominidae
HNO151AHS,H1N1,Hominidae
SQD889IHJ,H1N1,Suidae
HRU070TAH,H1N2,Suidae
FUJ974YWB,H1N1,Avian
UKN287JXO,H9N2,Avian
ZXQ813FFK,H5N1,Avian
BIV902FYK,H3N2,Avian
RSR643VGO,H3N2,Avian
JYE958TYX,H3N2,Avian
SSN503OAF,H3N2,Avian
BIE032ZPL,H3N2,Avian
VZT972NAZ,H3N2,Avian
GBJ710RUY,H3N2,Avian
CXV175UCY,H9N2,Avian
GWF042DKD,H9N2,Avian
HGZ770UKI,H9N2,Avian
SHK508GYJ,H9N2,Avian
VBD865ZWN,H1N1,Suidae
DQZ368BPN,H1N1,Suidae
DZX793GUN,H5N1,Avian
YBS256SCH,H5N1,Avian
SPC513JRF,H5N1,Avian
HNH603APT,H5N1,Avian
BUU231GFF,H5N1,Avian
AGP117BAR,H5N1,Avian
OBJ924HOL,H5N1,Avian
VUR709WPQ,H5N1,Avian
SZB335ORE,H5N1,Avian
EEJ889QVN,H5N1,Avian
ZHW911WEP,H5N1,Avian
RIO212CMQ,H5N1,Avian
AHG509JXR,H16N9,Avian
WMG084PKM,H11N2,Avian
GBL929XLM,H7N2,Avian
ILB110MPI,H7N2,Avian
UBK761JXR,H7N2,Avian
YAJ110TML,H7N2,Avian
DEN433CTD,H7N2,Avian
UVI413VEJ,H7N2,Avian
DTL627IZV,H7N2,Avian
SPS953QJO,H5N1,Avian
ATA384SXP,H5N1,Avian
SNE643WGM,H5N1,Avian
ARA335AST,H5N1,Avian
OML813QYI,H5N1,Avian
NAS874XQD,H5N1,Avian
HCS180TYR,H5N1,Avian
UIV632JZG,H5N1,Avian
CGW949FQW,H5N1,Avian
PIX503KDH,H5N1,Avian
NKX624XTI,H5N1,Avian
JYS396ZAE,H5N1,Avian
GJB289LSP,H5N1,Avian
WXR388WJR,H5N1,Avian
QHA549PJS,H5N1,Avian
GFA601ZVF,H5N1,Avian
QNA406JCF,H5N1,Avian
VMQ703FTC,H5N1,Avian
OGK752EWQ,H5N1,Avian
WBL957WHD,H5N1,Avian
OML746OVK,H5N1,Avian
VWI910MEU,H5N1,Avian
XSO753JBW,H5N1,Avian
REK777NME,H5N1,Avian
QON553BUD,H5N1,Avian
DCH772JMW,H5N1,Avian
PZQ536MDU,H5N1,Avian
YRX606IGK,H5N1,Avian
FTY243DFR,H5N1,Avian
BXJ817WSR,H9N2,Avian
QSJ277BAX,H1N1,Avian
TAE223FSK,H7N3,Avian
UEP384BFV,H9N2,Avian
HGG023DUL,H9N2,Avian
OHK651WGA,H5N1,Avian
MIA052GID,H5N1,Avian
PTV395KED,H5N2,Avian
OVS041DTJ,H9N2,Avian
RNZ622EYS,H9N2,Avian
VGS781WOJ,H5N1,Avian
PRL919OVL,H13N6,Avian
QGC220ZKL,H9N2,Avian
IYR686ENZ,H9N2,Avian
KFI983YWC,H9N2,Avian
MQS160IVA,H9N2,Avian
VQD073WMH,H9N2,Avian
OGE007MLW,H9N2,Avian
YIN531WHZ,H9N2,Avian
YMC169IHM,H9N2,Avian
WTW786ZXX,H9N2,Avian
UTZ975YVT,H5N1,Avian
NGO249AJA,H5N1,Avian
BJA230TRL,H16N3,Avian
TBW268WLM,H9N2,Avian
HUP683ZAD,H9N2,Avian
HKP062KZU,H9N2,Avian
MPZ380LHI,H9N2,Avian
BMK292RYL,H9N2,Avian
RLB101BQX,H9N2,Avian
KIE277LVZ,H9N2,Avian
IHO729XEU,H7N9,Avian
IRO137XAS,H5N1,Avian
VTO533PLH,H5N1,Avian
KWT580ACL,H9N2,Avian
MAG474MWA,H9N2,Avian
UMU871YBB,H9N2,Avian
JPL477ZFF,H9N2,Avian
GQU871YRA,H9N2,Avian
MEJ003ZCY,H9N2,Avian
UMF169OFB,H9N2,Avian
YVK725NAB,H9N2,Avian
NNJ970OOM,H9N2,Avian
NLA150CGN,H9N2,Avian
UWA597ZIZ,H9N2,Avian
YMB775SNT,H9N2,Avian
AJX667HIJ,H9N2,Avian
XLK392WWQ,H9N2,Avian
PBM688DPK,H9N2,Avian
WGE068GDK,H9N2,Avian
AZG327HAB,H9N2,Avian
WHN720LSH,H9N2,Avian
BOO599WQH,H9N2,Avian
WTH141RFE,H9N2,Avian
NDH118OAA,H9N2,Avian
EIG243OTN,H9N2,Avian
HWQ784SUH,H9N2,Avian
EFN030AWS,H9N2,Avian
WBI040NQL,H9N2,Avian
PUH376DQP,H5N1,Avian
JCX715RPP,H9N2,Avian
NYV678HHG,H5N1,Avian
MJA265OXJ,H5N1,Avian
RYA305HDZ,H5N1,Avian
QYP686FSB,H9N2,Avian
PPE318EAV,H9N2,Avian
ITJ216UTD,H5N1,Avian
FUL026IUQ,H5N1,Avian
MHE672UOO,H1N1,Suidae
YOZ018EMT,H6N2,Avian
KNX405YBE,H5N1,Avian
MFB324XAP,H5N1,Avian
YLF929LQV,H5N1,Avian
ZLE913HEG,H5N6,Avian
GNN945CAG,H5N2,Avian
EAY424HUN,H6N1,Avian
MMH206UHI,H6N1,Avian
EEG387NTW,H6N1,Avian
CCM201BRE,H6N1,Avian
XDT469KUV,H6N1,Avian
AXH690RIJ,H6N1,Avian
FXU851SUJ,H9N2,Avian
ZGY993URS,H5N1,Avian
AWK374TQB,H9N2,Avian
RQO080OHK,H5N1,Avian
PQX632AMJ,H5N2,Avian
GKL147OUM,H9N2,Avian
PGI142WYE,H9N2,Avian
BKK174SVX,H5N1,Avian
WFQ964LYU,H5N1,Avian
ANN258UFI,H9N2,Avian
EWV069UWV,H9N2,Avian
ILE686USB,H6N6,Avian
JKL222XVU,H9N2,Avian
SVL973PDU,H5N1,Avian
OVV436ACR,H5N1,Avian
FBS814NZI,H5N1,Avian
XIF343PNS,H5N1,Avian
LPX426YCM,H9N2,Avian
IIG677WQN,H9N2,Avian
TOF068JFA,H7N7,Avian
BAB909XUV,H9N2,Avian
AOD718ZRL,H5N2,Avian
YWS366MXU,H5N1,Avian
JLF577SDV,H5N1,Avian
MTG925WRJ,H5N1,Avian
KKV804UQN,H5N1,Avian
ZCS775IKE,H5N1,Avian
QAY364UUF,H5N1,Avian
EIT713OVZ,H5N1,Avian
JBT232ECC,H5N1,Avian
RMG302AGF,H5N6,Avian
HUK989BTU,H9N2,Avian
BES990SJK,H9N2,Avian
UEV630JSE,H9N2,Avian
PRR807SRH,H6N6,Avian
WJD409TIK,H6N6,Avian
HBR063WGR,H5N2,Avian
NTF455GNG,H6N6,Avian
YHD753GCS,H6N6,Avian
THN008ODV,H6N6,Avian
GLJ086NVW,H6N6,Avian
EYL432OOO,H6N6,Avian
QIA229KCN,H5N6,Avian
XJI559PJB,H9N2,Avian
JJN778BXC,H9N2,Avian
RUL364YDV,H5N8,Avian
MSO205PYU,H7N2,Avian
WTY037EIE,H9N2,Avian
KPN269LPJ,H9N2,Avian
GNY411XNI,H7N3,Avian
ZAK885FQK,H5N1,Avian
DVB476IRP,H1N2,Avian
AYY988EDZ,H9N2,Avian
IML870SRG,H5N1,Avian
WHF895JKY,H5N6,Avian
SNL063JIX,H5N6,Avian
IYN419GEZ,H5N1,Avian
NSB506CRY,H5N1,Avian
FUW923EYF,H5N1,Avian
OQI131KVI,H5N1,Avian
VTV021XAP,H5N1,Avian
TBB378RJW,H5N1,Avian
ZIH388YTP,H5N1,Avian
IOT453LKE,H9N2,Avian
DVQ816GNV,H5N1,Avian
MBY281BPZ,H5N1,Avian
AMK907HCG,H5N1,Avian
EFR589NLO,H5N1,Avian
ZRH103WYV,H5N1,Avian
NUS430NWU,H3N6,Avian
GGG909JVX,H5N1,Avian
ZZT048LKC,H5N1,Avian
YRZ893OKX,H5N1,Avian
LIF508UBR,H5N1,Avian
ZZN248UAQ,H5N1,Avian
ZQC450VDD,H4N6,Avian
NVR607UKE,H6N2,Avian
WDV848VJQ,H6N6,Avian
CZV400SIE,H5N8,Avian
ROK398ILE,H9N2,Avian
LGL066FGP,H5N1,Avian
OXR276HDI,H6N6,Avian
DQC915WZH,H6N2,Avian
AJR859KNR,H6N6,Avian
WKG724JCI,H6N6,Avian
IMD744AWP,H6N6,Avian
BRR159MIO,H6N6,Avian
OLR398IKU,H6N2,Avian
PZG553JIJ,H6N2,Avian
NQU538PJZ,H6N6,Avian
QSO434SKI,H6N6,Avian
UFR542OYR,H6N6,Avian
CDJ795OCN,H6N6,Avian
JAV474PFS,H6N6,Avian
LKH465NKB,H6N6,Avian
IZQ070JFJ,H9N2,Avian
TUE864ONF,H5N1,Avian
FIZ987GGX,H6N6,Avian
ZVY998TEF,H6N6,Avian
NFX562XFI,H6N2,Avian
GUB696LDF,H6N2,Avian
VZH359IMR,H6N1,Avian
ZPM826VZG,H6N6,Avian
NAT713TFF,H6N2,Avian
QUI750ACX,H6N6,Avian
NCQ194FKB,H9N2,Avian
RNN981GSN,H6N6,Avian
XUD043CUX,H5N1,Avian
LYW085QUV,H1N1,Suidae
OGW330PMJ,H5N3,Avian
ZVK702HLM,H3N8,Avian
VMX022WEW,H8N4,Avian
XHS482MTK,H9N2,Avian
VGA316TJO,H9N2,Avian
YZG469LCR,H5N1,Avian
MMR209JLC,H9N2,Avian
RGZ442PEA,H5N1,Avian
HUS803DDI,H6N2,Avian
RLV087RXF,H5N1,Avian
QCI640LID,H5N1,Avian
RTO096EHR,H5N1,Avian
CAN808RWK,H5N1,Avian
AJB216VYL,H5N1,Avian
MHV741RFE,H11N9,Avian
ROW591DDU,H6N6,Avian
UCG779LDK,H5N1,Avian
XSD952WVY,H5N2,Avian
MXG846ZJY,H6N6,Avian
NPX287LFK,H7N7,Avian
ZFR529VVN,H6N2,Avian
JWZ345WTV,H10N8,Avian
MBB781IGD,H9N2,Avian
OWJ836XID,H9N2,Avian
KMZ803JKW,H7N7,Avian
SYX934JEX,H6N2,Avian
WSI792BTT,H7N7,Avian
LMG217ZAF,H9N2,Avian
LEB121PMP,H3N6,Avian
QFZ682FND,H3N2,Avian
IYH042MNN,H3N2,Avian
KRA931EVN,H3N1,Avian
KAH829VQY,H3N6,Avian
ZQH617EHR,H3N2,Avian
VKW499CIW,H3N2,Avian
VZE088WEC,H3N2,Avian
CWQ976QBL,H3N2,Avian
XEU317MDP,H3N2,Avian
QAY496BRR,H3N6,Avian
HKA117HTH,H3N6,Avian
ZMJ688EIO,H3N2,Avian
ULN175DDZ,H3N2,Avian
JKA863BMW,H3N2,Avian
EMT550JQX,H3N2,Avian
VWC153TZZ,H3N2,Avian
PZO353FMH,H3N6,Avian
YLU480RKT,H3N2,Avian
DND687MSS,H1N2,Avian
MLU059ULA,H3N8,Avian
GFR095XZP,H3N8,Avian
ZOB508CQI,H5N1,Avian
JPT574GUR,H5N1,Avian
FFS813MRZ,H5N1,Avian
ZBA182YQP,H5N1,Avian
MKN570NYU,H5N1,Avian
LOX862WZS,H5N1,Avian
DAO751MVR,H5N1,Avian
WFR777BCP,H5N1,Avian
OXB164CJE,H5N1,Avian
CAN562SQY,H5N1,Avian
WAN239VXQ,H3N2,Avian
LAS995XGZ,H6N2,Avian
MOI488DYQ,H6N2,Avian
MLN077RAT,H3N8,Avian
CQG858VKL,H3N8,Avian
CCK847AQP,H9N2,Avian
IIC567WLV,H9N2,Avian
PKB417WAW,H7N2,Avian
GBC370IUL,H6N6,Avian
PVW409MWL,H5N1,Avian
FAP994ZXQ,H4N5,Avian
XDG246HOF,H9N2,Avian
RCN911XHA,H5N2,Avian
VJX312YZU,H9N2,Avian
XIQ128WTD,H5N2,Avian
WSM804KAN,H5N1,Avian
HLB577OLN,H9N2,Avian
TLZ782RUH,H6N2,Avian
WSP666MSG,H6N6,Avian
HBD358EMV,H6N6,Avian
EGX808RWZ,H6N6,Avian
FQD296AAU,H6N2,Avian
JAC186LMQ,H9N2,Avian
MRB732SZE,H9N2,Avian
BES866WGJ,H9N2,Avian
UGK888SWH,H9N2,Avian
TFK722COW,H9N2,Avian
HXS917LMI,H9N2,Avian
CAL102GLT,H9N2,Avian
RDW014SOI,H9N2,Avian
EVM052SHL,H9N2,Avian
RDE202ETP,H5N1,Avian
DKJ241EQQ,H5N1,Avian
TYM326WYD,H6N6,Avian
VOF536XHJ,H5N1,Avian
CIV620GWJ,H5N1,Avian
NLG055VYE,H3N2,Avian
HHS005FWV,H3N6,Avian
PQB128HGT,H3N6,Avian
THN123CUJ,H3N2,Avian
DUW586GXO,H4N6,Avian
SUO675QOZ,H5N1,Avian
WGQ451HCR,H4N8,Avian
WJG876PTY,H5N1,Avian
LCR502SRF,H5N1,Avian
FYV996FPV,H5N1,Avian
HTQ475RMK,H5N1,Avian
FMJ040FFI,H5N1,Avian
DYZ197OGJ,H3N2,Avian
NLX318ZPP,H5N6,Avian
XGP754UBT,H5N1,Avian
QJL927ZBJ,H6N2,Avian
RRV988GFA,H9N2,Avian
HLM163ECM,H11N7,Avian
BJQ345EBM,H3N2,Avian
WKC108YQO,H5N6,Avian
BBS960WNR,H5N6,Avian
ILL161LGW,H11N7,Avian
MCJ333WRA,H9N6,Avian
WGZ441GRG,H9N2,Avian
EAO923DXS,H6N6,Avian
FVZ638LFR,H6N6,Avian
RYH831QVX,H9N2,Avian
RVM456RAV,H3N2,Avian
SVV753LBI,H6N6,Avian
LPF089XEQ,H5N6,Avian
KFP967IMR,H5N6,Avian
NQW278FWW,H5N1,Avian
AEG993HQX,H5N1,Avian
EZA012FQH,H5N1,Avian
CNF663OQK,H5N1,Avian
QXU216RVY,H5N1,Avian
ZJF805VLR,H5N1,Avian
XVV164LSO,H4N5,Avian
WCB837PGY,H5N2,Avian
LOQ301XRV,H1N2,Suidae
TDW597RVZ,H5N1,Avian
IGI851EYP,H5N1,Avian
CST060HKB,H5N1,Avian
ZGX381YWY,H5N1,Avian
NQT779VSP,H5N1,Avian
MFD496MMY,H3N8,Avian
GCW227RGT,H5N1,Avian
BEC846QTB,H5N1,Avian
IBC634KSE,H6N2,Avian
BFU426XYT,H3N8,Avian
UMF269KWS,H3N8,Avian
EGM497UAN,H3N8,Avian
MWM025KRT,H6N2,Avian
DEY872DVB,H6N2,Avian
YTE088RUZ,H6N2,Avian
ACX301NBS,H6N6,Avian
YUE189CBR,H5N1,Avian
SZI087BCA,H5N1,Avian
HDR448WOY,H5N1,Avian
ULS703FPR,H5N1,Avian
MID936PFY,H5N1,Avian
HAK890WDN,H5N1,Avian
SOZ798ZYT,H5N1,Avian
FKB501WTB,H5N1,Avian
KLS212EYV,H5N1,Avian
VRG535SDF,H4N6,Avian
UEV558QSM,H10N9,Avian
MBZ189UPM,H4N6,Avian
NRO129INP,H3N2,Avian
WRD788OJY,H5N1,Avian
AOW547GVJ,H5N2,Avian
WKR882DCV,H6N2,Avian
USD113YXT,H7N9,Avian
SEG538TER,H5N1,Avian
ARH695LZA,H6N8,Avian
ISH447VDP,H2N2,Avian
MZW032OYQ,H5N8,Avian
XXQ984PIR,H5N1,Avian
EWM536TOT,H3N8,Avian
JPH399DPF,H6N1,Avian
GXG592SVJ,H6N1,Avian
CBU711UCX,H13N2,Avian
ALN626PHT,H16N3,Avian
TRC929TEC,H16N3,Avian
AGV090XYO,H16N3,Avian
YLK940QNR,H16N3,Avian
IEN523OYV,H16N3,Avian
KSL305SBV,H16N3,Avian
EQP811BGA,H16N3,Avian
SPA255UVV,H16N3,Avian
HGH678MNA,H16N3,Avian
DXJ886GTK,H16N3,Avian
BLJ168FVG,H16N3,Avian
NFI172FCB,H16N3,Avian
DDQ192CRE,H5N2,Avian
JNQ659JFK,H16N3,Avian
MSO051RHP,H13N6,Avian
ZRK344DLG,H5N1,Avian
CYS021PQK,H5N8,Avian
QLI528VAM,H5N1,Avian
RYW192JKX,H6N6,Avian
VNE920HNO,H6N2,Avian
PRA123OTO,H6N2,Avian
HER666MLM,H5N1,Avian
KIP342YHV,H5N1,Avian
COL045OCZ,H5N1,Avian
DBW349TKH,H5N1,Avian
NIQ408WAY,H5N1,Avian
QCB036AJK,H1N1,Avian
MOS684EYJ,H5N1,Avian
TGN448KZB,H5N1,Avian
ZZT906VGY,H5N1,Avian
FRH132VVQ,H5N1,Avian
TYI944HWS,H5N1,Avian
PKE116GLK,H5N1,Avian
HPM251CCZ,H5N1,Avian
JNK116DGL,H9N2,Avian
YXZ853ZXJ,H5N1,Avian
OOQ059NLT,H7N3,Avian
DLJ022NUL,H10N7,Avian
LGU353LEM,H1N1,Avian
CIP962JBS,H7N2,Avian
MYH761WFL,H5N1,Avian
EBB794HFJ,H3N8,Avian
TUE053MKP,H6N6,Avian
LGR416QRQ,H4N2,Avian
RWA737XSC,H13N2,Avian
CRP803GBA,H1N1,Avian
SFX131DSY,H11N2,Avian
RRC081VBX,H13N2,Avian
NMN019WPQ,H16N3,Avian
DRF919GJP,H1N1,Suidae
JPN826ZVH,H6N2,Avian
DRY816HCP,H13N6,Avian
MCJ793FUN,H10N7,Avian
CGA600HDD,H5N1,Avian
IAN793BXC,H7N3,Avian
FMM863MKZ,H13N9,Avian
NUC642JCW,H10N8,Avian
RTB615JPR,H6N2,Avian
OXE038QKG,H9N2,Avian
LSP574GQD,H9N1,Avian
RKZ942WNN,H3N8,Avian
XMI220ASZ,H6N8,Avian
JVA128LRC,H3N8,Avian
TUE197HPI,H3N8,Avian
FGP473RFH,H4N6,Avian
MMJ612VFQ,H3N8,Avian
HPJ657SBX,H3N8,Avian
RTC852UOO,H4N6,Avian
CFU583IIO,H3N6,Avian
TSZ621VBW,H6N5,Avian
FWE108TIX,H2N3,Avian
UDL107ZIF,H6N3,Avian
AJG288AOB,H1N1,Avian
OQK684DPF,H6N8,Avian
FKZ344CLW,H2N3,Avian
JRQ051BAZ,H6N8,Avian
VPS462VUA,H3N8,Avian
EVP261CND,H6N3,Avian
GMY530UYS,H4N6,Avian
WSG284VLT,H4N6,Avian
AIU780ZBD,H10N7,Avian
FLG573ARS,H6N8,Avian
WCC176GBF,H3N8,Avian
WJF413WTH,H3N6,Avian
HTH045TRE,H6N8,Avian
POW188MJT,H3N8,Avian
DBQ393JVV,H3N8,Avian
EDS618FZW,H6N2,Avian
GRN756IFY,H6N9,Avian
FNY915RKR,H5N1,Avian
PAI895DPE,H5N8,Avian
IGD758ZPA,H11N2,Avian
JHL656SJP,H4N6,Avian
WCX388ZCM,H3N8,Avian
TNC551BFA,H4N6,Avian
KUY602TZQ,H3N1,Avian
CJD734PKK,H3N2,Avian
TYE212FWR,H5N1,Avian
ALW688IOK,H10N7,Avian
HGR148QTJ,H11N9,Avian
SVJ204WQB,H1N1,Avian
ETD812IYV,H4N8,Avian
VIX681AXV,H3N2,Hominidae
TZI702AVD,H3N2,Hominidae
BPP405ARG,H3N8,Avian
BVE841TON,H8N4,Avian
EPR521ZYG,H5N3,Avian
BJW186VSG,H7N3,Avian
JKC198API,H3N2,Hominidae
YOA191OKX,H4N6,Avian
RCJ431QUO,H3N8,Avian
MUD489SPW,H4N6,Avian
NGX607MLL,H4N6,Avian
KOF277YTG,H2N2,Avian
HAI149YZX,H4N2,Avian
XXX221NIB,H7N7,Avian
QIK085IRO,H10N7,Avian
JAF274XWA,H3N8,Avian
NBU686DED,H7N7,Avian
OZA456RPR,H4N8,Avian
LEL008XDA,H3N2,Avian
JHO104SXG,H10N7,Avian
VJE891ALH,H6N2,Avian
APE736HXK,H4N6,Avian
FFT138DLU,H4N2,Avian
IOS820HLG,H3N2,Avian
IIS393CLO,H10N7,Avian
BDQ886ACB,H11N9,Avian
PYE883KRI,H4N6,Avian
MPM053QQV,H11N1,Avian
HJA054RTJ,H6N2,Avian
DDF112ELI,H11N9,Avian
CSY676QRS,H11N9,Avian
